drwNo,1,2,3,4,5,6,bnusNo,no1,no2,no3,no4,no5
1161,2,12,20,24,34,42,37,1792657969,40858302,1163970,50000,5000
1160,7,13,18,36,39,45,19,2509359875,59746664,1580202,50000,5000
1159,3,9,27,28,38,39,7,1284854250,44775224,1316215,50000,5000
1158,21,25,27,32,37,38,20,1394358197,56747136,1609583,50000,5000
1157,5,7,12,20,25,26,28,2257842157,32026130,992677,50000,5000
1156,30,31,34,39,41,45,7,1505207090,72167464,1507792,50000,5000
1155,10,16,19,27,37,38,13,4066375179,60821851,1496091,50000,5000
1154,4,8,22,26,32,38,27,1854965425,74796993,1453735,50000,5000
1153,1,9,10,13,35,44,5,2027312925,64155473,1445603,50000,5000
1152,30,31,32,35,36,37,5,874349668,64561685,1520684,50000,5000
1151,2,3,9,15,27,29,8,1620503030,45013974,1370166,50000,5000
1150,8,9,18,35,39,45,25,1570620309,19690668,1303865,50000,5000
1149,8,15,19,21,32,36,38,1613380765,61773588,1563354,50000,5000
1148,3,6,13,15,16,22,32,2073332308,46311547,1457567,50000,5000
1147,7,11,24,26,27,37,32,3323422079,53388307,1235014,50000,5000
1146,6,11,17,19,40,43,28,2526476353,64331574,1528672,50000,5000
1145,2,11,31,33,37,44,32,3051630084,72657860,1382079,50000,5000
1144,3,4,12,15,26,34,6,1489347375,47532364,1232224,50000,5000
1143,10,16,17,27,28,36,6,2545657023,51855977,1479721,50000,5000
1142,2,8,28,30,37,41,22,3117517709,69795173,1645997,50000,5000
1141,7,11,12,21,26,35,20,2457758285,45058902,1336663,50000,5000
1140,7,10,22,29,31,38,15,2279823938,54935517,1363124,50000,5000
1139,5,12,15,30,37,40,18,2167490972,62616406,1449454,50000,5000
1138,14,16,19,20,29,34,35,1902656786,88790650,1549576,50000,5000
1137,4,9,12,15,33,45,26,2023447688,42534937,1420818,50000,5000
1136,21,33,35,38,42,44,1,2314468157,61719151,1592890,50000,5000
1135,1,6,13,19,21,33,4,2953726125,48687794,1296632,50000,5000
1134,3,7,9,13,19,24,23,1755689384,42233078,1034236,50000,5000
1133,13,14,20,28,29,34,23,2105079491,62479529,1666426,50000,5000
1132,6,7,19,28,34,41,5,2404951807,60398334,1428736,50000,5000
1131,1,2,6,14,27,38,33,1542367898,78036471,1527453,50000,5000
1130,15,19,21,25,27,28,40,2263301219,65602934,1560898,50000,5000
1129,5,10,11,17,28,34,22,2369567660,40600069,1382625,50000,5000
1128,1,5,8,16,28,33,45,419925560,57262577,1476137,50000,5000
1127,10,15,24,30,31,37,32,2267891969,53997428,1508409,50000,5000
1126,4,5,9,11,37,40,7,2386382421,48077302,1404957,50000,5000
